Depart date,Return date,Outbound Origin,Outbound Destination,Outbound Departure time,Outbound Arrival time,Outbound Duration,Return Origin,Return Destination,Return Departure time,Return Arrival time,Return Duration,Price
2024-11-05,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£658.87
2024-11-05,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£991.47
2024-11-05,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£694.89
2024-11-05,2025-01-15,LHR,ICN,20:25,21:45,16 hours 20 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£658.87
2024-11-05,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£589.33
2024-11-05,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£589.33
2024-11-05,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£618.32
2024-11-05,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£647.33
2024-11-06,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£846.71
2024-11-06,2025-01-15,LHR,ICN,17:05,16:55,14 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£625.49
2024-11-06,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-06,2025-01-15,LHR,ICN,15:45,16:55,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£625.49
2024-11-06,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1012.59
